condition,count,nc_count
9m_AD_R1,6606.0,250.0
9m_AD_R1,4083.0,79.0
9m_AD_R1,3260.0,51.0
9m_AD_R1,4090.0,104.0
9m_AD_R1,3019.0,61.0
9m_AD_R1,3132.0,62.0
9m_AD_R1,5775.0,131.0
9m_AD_R1,6247.0,145.0
9m_AD_R1,2661.0,36.0
9m_AD_R1,2124.0,61.0
9m_AD_R1,2954.0,86.0
9m_AD_R1,3920.0,97.0
9m_AD_R1,2883.0,61.0
9m_AD_R1,2592.0,58.0
9m_AD_R1,8253.0,265.0
9m_AD_R1,4726.0,107.0
9m_AD_R1,7228.0,268.0
9m_AD_R1,5839.0,164.0
9m_AD_R1,9392.0,301.0
9m_AD_R1,6653.0,243.0
9m_AD_R1,8811.0,330.0
9m_AD_R1,6771.0,271.0
9m_AD_R1,122.0,1.0
9m_AD_R1,252.0,6.0
9m_AD_R1,5311.0,89.0
9m_AD_R1,852.0,12.0
9m_AD_R1,73.0,0.0
9m_AD_R1,95.0,1.0
9m_AD_R1,2190.0,30.0
9m_AD_R1,3812.0,82.0
9m_AD_R1,2262.0,40.0
9m_AD_R1,5098.0,147.0
9m_AD_R1,7124.0,186.0
9m_AD_R1,8385.0,251.0
9m_AD_R1,4847.0,109.0
9m_AD_R1,9131.0,240.0
9m_AD_R1,7486.0,216.0
9m_AD_R1,7234.0,225.0
9m_AD_R1,6830.0,172.0
9m_AD_R1,6723.0,185.0
9m_AD_R1,5576.0,165.0
9m_AD_R1,6702.0,170.0
9m_AD_R1,6663.0,154.0
9m_AD_R1,4257.0,78.0
